,station,lat,long,month,day,hour,ratio,counts_departure,counts_return
0,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,0,3.7510512,0.99897355,0.2663183
1,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,1,>5,0.49719083,1e-06
2,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,2,>5,0.21300657,1e-06
3,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,3,>5,0.15548608,1e-06
4,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,4,>5,0.03152496,1e-06
5,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,5,>5,0.03152496,1e-06
6,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,6,>5,0.051437933,1e-06
7,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,7,<1,0.0098002665,0.75041044
8,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,8,<1,0.18942006,0.7424745
9,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,9,<1,0.6779537,1.2523524
10,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,10,<1,0.8779623,1.6757145
11,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,11,<1,1.1867617,1.8897667
12,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,12,<1,1.9166173,2.2188792
13,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,12,1.1288935,2.603202,2.3059766
14,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,14,1.2288011,2.9923503,2.4351788
15,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,15,1.4280245,3.5351555,2.4755566
16,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,16,1.187431,3.238805,2.7275734
17,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,17,1.5401486,3.7025778,2.4040394
18,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,18,1.5390044,3.1686113,2.0588708
19,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,19,1.8602207,2.7563577,1.4817369
20,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,20,1.1659305,1.5400814,1.3209032
21,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,21,1.1267477,1.0694044,0.94910717
22,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,22,1.6541877,0.5669155,0.34271535
23,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,6,23,>5,0.0080231875,1e-06
24,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,0,3.0098088,0.41319793,0.13728379
25,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,1,>5,0.17611082,1e-06
26,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,2,1.0,1e-06,1e-06
27,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,3,1.0,1e-06,1e-06
28,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,4,1.0,1e-06,1e-06
29,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,5,<1,1e-06,0.08330579
30,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,6,<1,1e-06,0.38935894
31,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,7,<1,0.25370386,1.8748682
32,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,8,<1,0.6364973,3.7317333
33,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,9,<1,1.0386919,3.984598
34,0099 Vancouver Art Gallery - North Plaza,49.28322689999999,-123.120523,5,0,10,<1,0.57515436,2.1867344
