Departure,Return,Bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2021-02-01 0:00,2021-02-01 0:00,1274,0001 10th & Cambie,0074 10th & Main,365 Plus,951,259,3590,3790,7,9,0,0
2021-02-01 0:00,2021-02-01 0:00,1149,0063 Robson & Granville,0063 Robson & Granville,30 Day Pass,2726,1200,3636,3764,7,5,0,0
2021-02-01 0:00,2021-02-01 0:00,1950,0002 Burrard Station (Melville & Dunsmuir),0096 Nicola & Robson,365 Standard,1139,274,3911,4047,8,10,0,0
2021-02-01 0:00,2021-02-01 0:00,304,0096 Nicola & Robson,0032 Comox & Denman,365 Day Founding Plus,2527,870,3985,4140,8,10,194,1
2021-01-31 23:00,2021-01-31 23:00,591,0045 Beach & Hornby,0161 Alexander & Dunlevy,365 Standard,4406,882,3905,4206,9,10,0,0
2021-01-31 23:00,2021-01-31 23:00,376,0190 Melville & Bute,0063 Robson & Granville,30 Day Pass,1094,423,3697,3837,8,9,0,0
2021-01-31 23:00,2021-01-31 23:00,821,0119 3rd & Quebec,0187 Bute & Davie,365 Corporate Plus Renewal,3822,967,3814,3934,7,10,0,0
2021-01-31 23:00,2021-01-31 23:00,376,0063 Robson & Granville,0190 Melville & Bute,30 Day Pass,1372,650,3694,3793,8,9,0,0
2021-01-31 23:00,2021-01-31 23:00,758,0227 Campbell & Hastings,0234 Station & National,365 Day Founding Plus,1917,2622,3763,3871,8,11,0,0
2021-01-31 22:00,2021-01-31 23:00,1808,0078 Nelson & Mainland,0005 Dunsmuir & Beatty,365 Standard,908,371,3774,3893,8,8,0,0
2021-01-31 22:00,2021-01-31 23:00,313,0055 Keefer & Columbia,0058 Homer & Smithe,365 Plus,1997,643,4067,4171,8,9,0,0
2021-01-31 22:00,2021-01-31 23:00,376,0138 Richards & Helmcken,0063 Robson & Granville,30 Day Pass,2005,1358,3702,3769,10,8,0,0
2021-01-31 22:00,2021-01-31 22:00,99,0058 Homer & Smithe,0064 Expo & Smithe,365 Corporate Plus Renewal,575,162,3705,3814,9,9,0,0
