Departure,Return,Bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2021-01-01 0:00,2021-01-01 0:00,61,0017 Marinaside & Davie,0137 Beach & Seymour,365 Plus,1333,1828,3810,3872,10,10,0,0
2021-01-01 0:00,2021-01-01 0:00,1987,0017 Marinaside & Davie,0199 Georgia & Main,365 Plus,1899,467,3874,4022,9,11,0,0
2021-01-01 0:00,2021-01-01 0:00,880,0068 Cypress & Broadway,0076 Cypress & 4th,Archived Monthly Standard,575,136,3993,4077,9,10,0,0
2020-12-31 23:00,2020-12-31 23:00,562,0258 13th & St George,0246 Glen & Broadway,365 Standard,1294,398,3942,4105,8,10,0,0
2020-12-31 23:00,2020-12-31 23:00,2121,0025 Homer & Robson (Vancouver Public Library),0014 Canada Place,30 Day Pass,1815,1356,3623,3706,9,6,0,0
2020-12-31 22:00,2020-12-31 23:00,1535,0015 Granville & Georgia,0063 Robson & Granville,Vancity Community Pass,1848,1850,3645,3781,9,8,0,0
2020-12-31 22:00,2020-12-31 23:00,747,0019 Robson & Hornby,0041 Cardero & Robson,365 Day Founding Plus,4688,3013,3371,3532,9,8,1383,5
2020-12-31 22:00,2020-12-31 22:00,2121,0030 Abbott & Cordova,0025 Homer & Robson (Vancouver Public Library),30 Day Pass,1178,400,3602,3742,10,8,0,0
2020-12-31 22:00,2020-12-31 22:00,532,0193 Science World,0137 Beach & Seymour,365 Standard,2881,484,3763,3863,9,11,0,0
2020-12-31 22:00,2020-12-31 22:00,120,0045 Beach & Hornby,0045 Beach & Hornby,24 Hour,1543,671,3723,3903,9,10,0,0
2020-12-31 22:00,2020-12-31 22:00,146,0045 Beach & Hornby,0045 Beach & Hornby,24 Hour,1537,718,3719,3832,9,10,0,0
2020-12-31 22:00,2020-12-31 22:00,1512,0300 Bute & Barclay,0040 Cardero & Pendrell,30 Day Pass,953,184,3183,3302,8,10,0,0
2020-12-31 22:00,2020-12-31 22:00,2121,0063 Robson & Granville,0030 Abbott & Cordova,30 Day Pass,2497,1459,3594,3708,9,7,0,0
2020-12-31 22:00,2020-12-31 22:00,440,0099 Vancouver Art Gallery - North Plaza,0089 Burrard & Drake,30 Day Pass,1110,311,3732,3930,8,10,0,0
2020-12-31 22:00,2020-12-31 22:00,1628,0024 Hornby & Pender,0079 Nelson & Richards,30 Day Pass,1310,493,3795,3885,8,9,0,0
2020-12-31 21:00,2020-12-31 22:00,747,0041 Cardero & Robson,0019 Robson & Hornby,365 Day Founding Plus,8460,3371,3482,3545,8,8,530,4
2020-12-31 21:00,2020-12-31 21:00,28,0048 Comox & Broughton,0040 Cardero & Pendrell,Vancity Community Pass,361,86,3721,3785,8,9,0,0
2020-12-31 21:00,2020-12-31 21:00,1110,0073 Ontario & 5th,0053 Keefer & Abbott,365 Plus,1915,497,3979,4129,8,10,0,0
2020-12-31 21:00,2020-12-31 21:00,1634,0981 Workshop - Service Complete,0242 8th & Commercial,VIP,1962,738,3992,4076,23,17,0,0
2020-12-31 21:00,2020-12-31 21:00,315,0073 Ontario & 5th,0053 Keefer & Abbott,365 Corporate Plus,1919,717,3723,3872,8,10,0,0
2020-12-31 21:00,2020-12-31 21:00,282,0064 Expo & Smithe,0053 Keefer & Abbott,30 Day Pass,782,210,3727,3811,9,11,0,0
2020-12-31 21:00,2020-12-31 21:00,1465,0005 Dunsmuir & Beatty,0109 7th & Arbutus,365 Standard,4766,1484,3771,4034,8,8,0,0
2020-12-31 21:00,2020-12-31 21:00,1237,0130 Heather & 16th,0057 Marinaside & Cooperage,365 Standard,4567,1246,3666,3850,8,11,0,0
2020-12-31 21:00,2020-12-31 21:00,532,0006 Olympic Village Station,0193 Science World,365 Corporate Standard Renewal,1613,398,3724,3842,9,11,0,0
2020-12-31 21:00,2020-12-31 21:00,683,0125 Hamilton & Robson,0055 Keefer & Columbia,365 Plus,0,318,3553,3739,8,8,0,0
2020-12-31 21:00,2020-12-31 21:00,1465,0025 Homer & Robson (Vancouver Public Library),0005 Dunsmuir & Beatty,365 Standard,653,199,3793,3895,8,7,0,0
2020-12-31 20:00,2020-12-31 21:00,747,0041 Cardero & Robson,0041 Cardero & Robson,365 Day Founding Plus,2291,1017,3486,3558,8,8,296,1
2020-12-31 20:00,2020-12-31 20:00,260,0006 Olympic Village Station,0191 7th & Laurel,30 Day Pass,794,380,3689,3793,9,10,0,0
2020-12-31 20:00,2020-12-31 21:00,2169,0019 Robson & Hornby,0064 Expo & Smithe,365 Plus,4118,3258,3597,3681,9,8,768,2
2020-12-31 20:00,2020-12-31 20:00,1086,0019 Robson & Hornby,0032 Comox & Denman,365 Standard,1772,431,3810,3963,8,11,0,0
2020-12-31 20:00,2020-12-31 20:00,241,0033 Robson & Denman,0084 Sunset Beach West,365 Standard,1482,444,3808,3997,9,10,0,0
2020-12-31 20:00,2020-12-31 20:00,1443,0297 6th & Prince Edward,0083 Aquatic Centre,365 Corporate Plus Renewal,5711,1480,3826,4114,8,10,0,0
2020-12-31 20:00,2020-12-31 20:00,232,0033 Robson & Denman,0037 Hornby & Nelson,365 Day Founding Plus,1670,438,3814,3934,9,10,0,0
2020-12-31 20:00,2020-12-31 20:00,1976,0002 Burrard Station (Melville & Dunsmuir),0099 Vancouver Art Gallery - North Plaza,365 Day Founding Plus,1343,1103,3871,3961,8,8,0,0
2020-12-31 20:00,2020-12-31 20:00,440,0002 Burrard Station (Melville & Dunsmuir),0099 Vancouver Art Gallery - North Plaza,365 Corporate Plus Renewal,1376,1161,3803,3850,9,10,0,0
2020-12-31 20:00,2020-12-31 20:00,75,0191 7th & Laurel,0058 Homer & Smithe,365 Day Founding Plus,193,747,3673,3715,8,8,0,0
2020-12-31 20:00,2020-12-31 20:00,2121,0039 Helmcken & Burrard,0063 Robson & Granville,30 Day Pass,2540,1447,3563,3702,10,8,0,0
2020-12-31 20:00,2020-12-31 21:00,72,0037 Hornby & Nelson,0125 Hamilton & Robson,365 Plus,1135,3177,3715,3887,9,10,2779,1
2020-12-31 20:00,2020-12-31 20:00,1249,0087 Broughton & Burnaby,0032 Comox & Denman,30 Day Pass,822,295,3937,4021,8,10,0,0
2020-12-31 20:00,2020-12-31 20:00,186,0030 Abbott & Cordova,0027 Beatty & Nelson,365 Corporate Standard,1364,338,3937,4085,8,10,0,0
2020-12-31 20:00,2020-12-31 20:00,747,0217 Smithe & Burrard,0041 Cardero & Robson,365 Day Founding Plus,4314,2092,3505,3557,9,8,409,2
2020-12-31 20:00,2020-12-31 20:00,457,0008 8th & Ash,0285 Commercial & Pandora,365 Standard,5358,1615,3684,3997,9,10,0,0
2020-12-31 19:00,2020-12-31 20:00,1899,0039 Helmcken & Burrard,0057 Marinaside & Cooperage,365 Corporate Standard Renewal,1298,282,3642,3723,8,10,0,0
2020-12-31 19:00,2020-12-31 20:00,241,0084 Sunset Beach West,0033 Robson & Denman,365 Standard,1568,426,3784,3977,8,8,0,0
2020-12-31 19:00,2020-12-31 19:00,721,0252 Woodland & Graveley,0227 Campbell & Hastings,Vancity Community Pass,1903,646,3586,3716,8,9,0,0
2020-12-31 19:00,2020-12-31 20:00,2121,0063 Robson & Granville,0039 Helmcken & Burrard,30 Day Pass,1658,1782,3597,3652,9,7,0,0
2020-12-31 19:00,2020-12-31 19:00,1694,0005 Dunsmuir & Beatty,0036 Bute & Robson,30 Day Pass,1764,571,3681,3789,8,10,0,0
2020-12-31 19:00,2020-12-31 19:00,1190,0119 3rd & Quebec,0001 10th & Cambie,30 Day Pass,1594,530,3960,4067,8,10,0,0
2020-12-31 19:00,2020-12-31 19:00,1602,0217 Smithe & Burrard,0083 Aquatic Centre,365 Day Founding Plus,1437,405,3881,4035,9,10,0,0
2020-12-31 19:00,2020-12-31 19:00,776,0245 Woodland & 10th,0245 Woodland & 10th,365 Corporate Plus,914,273,3905,4021,8,9,0,0
2020-12-31 19:00,2020-12-31 19:00,1694,0217 Smithe & Burrard,0005 Dunsmuir & Beatty,30 Day Pass,1700,520,3665,3774,9,10,0,0
2020-12-31 19:00,2021-01-01 7:00,741,0079 Nelson & Richards,0028 Davie & Beach,365 Day Founding Plus,2879,616,3968,4014,8,8,0,0
2020-12-31 19:00,2020-12-31 19:00,1616,0053 Keefer & Abbott,0026 Beatty & Robson,30 Day Pass,855,278,3803,3916,9,10,0,0
2020-12-31 19:00,2020-12-31 19:00,1897,0186 10th & Kingsway,0282 14th & Fraser,365 Plus,1021,274,3521,3615,8,10,0,0
2020-12-31 19:00,2020-12-31 19:00,395,0159 Vine & 4th,0113 Arbutus & 16th,365 Plus,1586,433,3856,3989,8,10,0,0
2020-12-31 19:00,2020-12-31 19:00,457,0177 Quebec & 1st,0008 8th & Ash,365 Standard,1672,703,3814,3930,8,10,0,0
2020-12-31 19:00,2020-12-31 19:00,289,0045 Beach & Hornby,0088 Harwood & Bute,30 Day Pass,4962,1327,3843,4146,8,8,0,0
2020-12-31 19:00,2020-12-31 19:00,2015,0037 Hornby & Nelson,0032 Comox & Denman,365 Day Founding Plus,2133,611,3921,4090,8,9,0,0
2020-12-31 18:00,2020-12-31 19:00,1296,0081 7th & Heather,0065 Cypress & Cornwall,365 Corporate Standard Renewal,2646,714,3697,3779,8,10,0,0
2020-12-31 18:00,2020-12-31 19:00,747,0041 Cardero & Robson,0217 Smithe & Burrard,365 Day Founding Plus,7320,3633,3578,3571,8,8,838,6
2020-12-31 18:00,2020-12-31 19:00,772,0235 Charles & Commercial,0228 Keefer & Hawks,30 Day Pass,1892,463,3642,3729,8,11,0,0
2020-12-31 18:00,2020-12-31 19:00,1238,0001 10th & Cambie,0112 10th & Oak,365 Plus,929,250,3943,4047,8,8,0,0
2020-12-31 18:00,2020-12-31 19:00,1540,0004 Yaletown-Roundhouse Station,0217 Smithe & Burrard,30 Day Pass,1504,567,3623,3748,9,8,0,0
2020-12-31 18:00,2020-12-31 19:00,2106,0052 Cambie & Water,0064 Expo & Smithe,365 Plus,1935,1103,3569,3644,11,9,256,1
2020-12-31 18:00,2020-12-31 18:00,1897,0282 14th & Fraser,0186 10th & Kingsway,365 Plus,1047,233,3521,3613,8,10,0,0
2020-12-31 18:00,2020-12-31 18:00,1098,0213 Pender & Gore,0193 Science World,30 Day Pass,1313,428,3750,3940,9,10,0,0
2020-12-31 18:00,2020-12-31 18:00,876,0037 Hornby & Nelson,0019 Robson & Hornby,365 Day Founding Plus,2015,875,3750,3943,8,10,0,0
2020-12-31 18:00,2020-12-31 18:00,424,0053 Keefer & Abbott,0073 Ontario & 5th,365 Plus,1948,466,3457,3632,9,10,0,0
2020-12-31 18:00,2020-12-31 19:00,1616,0019 Robson & Hornby,0053 Keefer & Abbott,30 Day Pass,3238,1674,3771,3893,10,11,0,0
2020-12-31 18:00,2020-12-31 18:00,1150,0053 Keefer & Abbott,0073 Ontario & 5th,365 Corporate Plus,1964,487,3947,4037,9,11,0,0
2020-12-31 18:00,2020-12-31 18:00,1531,0045 Beach & Hornby,0138 Richards & Helmcken,365 Corporate Plus,1098,455,3919,3947,5,10,0,0
2020-12-31 18:00,2020-12-31 18:00,1770,0054 Expo & Carrall,0193 Science World,30 Day Pass,287,495,3679,3745,8,8,0,0
