Departure,Return,Bike,Departure station,Return station,Formula,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (°C),Return temperature (°C),Stopover duration (sec.),Number of stopovers
2/1/2018 0:00,2/1/2018 0:00,333,0093 Chilco & Robson,0032 Comox & Denman,365 Corporate Standard,775,184,3860,3966,5,6,0,0
2/1/2018 0:00,2/1/2018 0:00,378,0012 Dunsmuir & Richards,0167 Cordova & Columbia,90 Day,1245,341,3706,3827,6,8,0,0
2/1/2018 0:00,2/1/2018 0:00,138,0014 Canada Place,0140 Burrard & 7th,365 Day Founding Plus,3979,844,3852,4032,6,8,0,0
2/1/2018 0:00,2/1/2018 0:00,1039,0024 Hornby & Pender,0070 10th & Granville,365 Day Founding Standard,4431,995,3890,4148,7,9,0,0
2/1/2018 0:00,2/1/2018 0:00,289,0089 Burrard & Drake,0148 Quebec & Milross,365 Day Founding Plus,3371,823,3769,3926,6,8,0,0
1/31/2018 23:00,2/1/2018 0:00,113,0019 Robson & Hornby,0033 Robson & Denman,90 Day,1366,342,0,3790,0,8,0,0
1/31/2018 23:00,1/31/2018 23:00,13,0129 Richards & Robson,0082 Richards & Davie,365 Day Founding Standard,673,232,3840,3964,5,7,0,0
1/31/2018 23:00,1/31/2018 23:00,1087,0019 Robson & Hornby,0088 Harwood & Bute,365 Day Founding Standard,1408,328,3787,3935,6,8,0,0
1/31/2018 23:00,1/31/2018 23:00,268,0078 Nelson & Mainland,0174 1st & Ontario,Archived Monthly Plus,2344,626,3871,4100,5,6,0,0
1/31/2018 23:00,1/31/2018 23:00,378,0037 Hornby & Nelson,0012 Dunsmuir & Richards,365 Day Founding Plus,1261,490,3692,3819,5,7,0,0
1/31/2018 23:00,1/31/2018 23:00,580,0037 Hornby & Nelson,0027 Beatty & Nelson,365 Day Founding Plus,869,267,3563,3784,5,5,0,0
1/31/2018 23:00,1/31/2018 23:00,421,0019 Robson & Hornby,0040 Cardero & Davie,365 Standard,1864,397,3827,3961,6,8,0,0
1/31/2018 23:00,1/31/2018 23:00,113,0026 Beatty & Robson,0019 Robson & Hornby,Archived Monthly Plus,888,395,3690,3798,5,4,0,0
1/31/2018 22:00,1/31/2018 23:00,415,0001 10th & Cambie,0134 14th & Main,365 Corporate Standard,1457,481,3615,3748,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,1232,0002 Burrard Station,0027 Beatty & Nelson,365 Standard,1733,428,3769,3935,5,8,0,0
1/31/2018 22:00,1/31/2018 22:00,115,0087 Broughton & Burnaby,0115 Cypress & 16th,365 Standard,4024,949,3744,4124,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,383,0187 Bute & Davie,0060 Bidwell & Burnaby,Archived Monthly Standard,912,191,3689,3761,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,333,0032 Comox & Denman,0093 Chilco & Robson,365 Corporate Standard,773,242,3858,3956,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,367,0032 Comox & Denman,0088 Harwood & Bute,365 Standard,1296,412,3650,3782,5,6,0,0
1/31/2018 22:00,1/31/2018 22:00,992,0025 Homer & Robson,0037 Hornby & Nelson,365 Day Founding Plus,892,307,3848,3969,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,38,0066 Anderson & 2nd,0069 7th & Granville,365 Plus,584,223,3776,3918,6,6,0,0
1/31/2018 22:00,1/31/2018 22:00,625,0208 Arbutus Greenway & Broadway,0165 Columbia & 4th,Archived Monthly Standard,3651,1145,3673,3885,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,256,0012 Dunsmuir & Richards,0081 7th & Heather,365 Standard,2687,638,3961,4192,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,597,0165 Columbia & 4th,0083 Aquatic Centre,365 Standard,4024,988,3889,4129,4,7,0,0
1/31/2018 21:00,1/31/2018 22:00,378,0063 Robson & Granville,0037 Hornby & Nelson,Archived Monthly Plus,492,182,3690,3776,5,7,0,0
1/31/2018 21:00,1/31/2018 22:00,1164,0601 Olympic Village Station,0057 Marinaside & Cooperage,365 Standard,1070,436,3784,3893,5,6,0,0
1/31/2018 21:00,1/31/2018 21:00,993,0129 Richards & Robson,0187 Bute & Davie,365 Day Founding Standard,1717,547,3681,3834,5,6,0,0
1/31/2018 21:00,1/31/2018 21:00,1232,0196 Drake & Hornby,0002 Burrard Station,90 Day,1541,490,3735,3905,5,7,0,0
1/31/2018 21:00,1/31/2018 22:00,580,0025 Homer & Robson,0037 Hornby & Nelson,365 Day Founding Plus,4806,3180,3627,3781,5,6,1391,2
1/31/2018 21:00,1/31/2018 21:00,113,0012 Dunsmuir & Richards,0026 Beatty & Robson,365 Day Founding Standard,771,307,3690,3782,4,6,0,0
1/31/2018 21:00,1/31/2018 21:00,1453,0080 Laurel & Broadway,0137 Beach & Seymour,Archived Monthly Standard,4296,1315,3939,4201,5,5,0,0
1/31/2018 21:00,1/31/2018 21:00,807,0066 Anderson & 2nd,0011 Ontario & Seawall,365 Day Founding Plus,3150,866,3992,4171,5,7,0,0
1/31/2018 21:00,1/31/2018 21:00,1330,0015 Granville & Georgia,0030 Abbott & Cordova,365 Day Founding Plus,1221,335,3661,3808,4,7,0,0
1/31/2018 21:00,1/31/2018 21:00,1419,0030 Abbott & Cordova,0008 8th & Ash,365 Standard,2811,742,3756,4076,5,7,0,0
1/31/2018 21:00,1/31/2018 21:00,695,0123 Georgia & Thurlow,0050 Bute & Comox,365 Day Founding Plus,1923,825,3897,4059,5,5,309,1
1/31/2018 21:00,1/31/2018 21:00,406,0041 Cardero & Robson,0088 Harwood & Bute,365 Standard,1521,446,3686,3852,4,6,0,0
1/31/2018 21:00,1/31/2018 21:00,437,0087 Broughton & Burnaby,0212 Union & Gore,365 Corporate Plus,4435,1258,3760,3935,5,6,0,0
1/31/2018 21:00,1/31/2018 21:00,894,0092 Chilco & Barclay,0150 Alexander & Main,365 Day Founding Plus,4396,975,3900,4106,4,7,0,0
1/31/2018 21:00,1/31/2018 21:00,1126,0041 Cardero & Robson,0040 Cardero & Davie,Archived Monthly Standard,677,229,3644,3747,5,6,0,0
1/31/2018 21:00,1/31/2018 21:00,580,0064 Expo & Smithe,0025 Homer & Robson,365 Day Founding Plus,1070,1063,3505,3755,5,4,616,1
1/31/2018 20:00,1/31/2018 20:00,1126,0087 Broughton & Burnaby,0041 Cardero & Robson,365 Corporate Plus,1018,279,3632,3748,5,6,0,0
1/31/2018 20:00,1/31/2018 20:00,1291,0187 Bute & Davie,0096 Nicola & Robson,365 Corporate Plus,963,250,3465,3618,4,7,0,0
1/31/2018 20:00,1/31/2018 21:00,741,0058 Homer & Smithe,0011 Ontario & Seawall,365 Standard,2775,898,3642,3800,5,7,0,0
1/31/2018 20:00,1/31/2018 20:00,79,0187 Bute & Davie,0024 Hornby & Pender,365 Standard,1817,629,3905,4076,5,6,0,0
1/31/2018 20:00,1/31/2018 20:00,1079,0076 Cypress & 4th,0109 7th & Arbutus,365 Day Founding Standard,606,274,3787,3916,5,5,0,0
1/31/2018 20:00,1/31/2018 20:00,859,0039 Helmcken & Burrard,0040 Cardero & Davie,Archived Monthly Plus,1282,347,3877,4013,4,7,0,0
1/31/2018 20:00,1/31/2018 20:00,220,0055 Keefer & Columbia,0601 Olympic Village Station,365 Day Founding Plus,2266,1129,3795,3903,5,6,338,1
1/31/2018 20:00,1/31/2018 20:00,728,0601 Olympic Village Station,0133 Ontario & 16th,Archived Monthly Plus,1905,610,3945,4109,6,7,0,0
1/31/2018 20:00,1/31/2018 20:00,1108,0047 Chilco & Beach,0204 York & Yew,365 Standard,3747,1057,3956,4171,5,8,0,0
1/31/2018 20:00,1/31/2018 20:00,220,0055 Keefer & Columbia,0055 Keefer & Columbia,365 Day Founding Plus,0,192,3823,3893,5,4,0,0
1/31/2018 20:00,1/31/2018 20:00,293,0112 10th & Oak,0172 10th & Columbia,365 Corporate Standard,1325,295,3834,3943,4,6,0,0
1/31/2018 20:00,1/31/2018 20:00,1164,0057 Marinaside & Cooperage,0601 Olympic Village Station,365 Standard,1067,291,3769,3898,5,7,0,0
1/31/2018 20:00,1/31/2018 20:00,1415,0125 Hamilton & Robson,0005 Dunsmuir & Beatty,365 Day Founding Standard,488,149,3690,3829,5,4,0,0
1/31/2018 20:00,1/31/2018 20:00,1092,0167 Cordova & Columbia,0053 Keefer & Abbott,365 Corporate Plus,1233,1491,4022,4114,5,4,960,1
1/31/2018 20:00,1/31/2018 20:00,728,0066 Anderson & 2nd,0601 Olympic Village Station,Archived Monthly Plus,1941,386,3860,4047,5,7,0,0
1/31/2018 20:00,1/31/2018 20:00,206,0024 Hornby & Pender,0206 8th & Scotia,365 Plus,3575,1015,3658,3901,5,7,0,0
1/31/2018 20:00,1/31/2018 20:00,904,0205 Pine & 10th,0139 Burrard & 4th,365 Plus,737,284,3555,3637,5,5,0,0
1/31/2018 20:00,1/31/2018 20:00,682,0063 Robson & Granville,0033 Robson & Denman,365 Corporate Plus,1584,574,3503,3658,5,7,0,0
1/31/2018 20:00,1/31/2018 20:00,904,0205 Pine & 10th,0205 Pine & 10th,365 Plus,0,17,3569,3631,5,4,0,0
1/31/2018 20:00,1/31/2018 20:00,1048,0073 Ontario & 5th,0011 Ontario & Seawall,Archived Monthly Plus,588,169,3903,4024,5,5,0,0
1/31/2018 19:00,1/31/2018 20:00,1347,0211 14th & Alder,0001 10th & Cambie,Archived Monthly Standard,2932,1223,3645,3890,7,6,0,0
1/31/2018 19:00,1/31/2018 20:00,662,0108 Cypress & 1st,0052 Cambie & Water,365 Day Founding Plus,4018,992,3684,3847,5,6,0,0
1/31/2018 19:00,1/31/2018 20:00,577,0139 Burrard & 4th,0205 Pine & 10th,365 Plus,794,400,3774,3871,5,6,0,0
1/31/2018 19:00,1/31/2018 20:00,731,0174 1st & Ontario,0035 Coal Harbour Community Centre,365 Corporate Standard,3761,1038,3716,3942,5,8,0,0
1/31/2018 19:00,1/31/2018 19:00,1263,0139 Burrard & 4th,0139 Burrard & 4th,365 Plus,0,36,3776,3855,5,4,0,0
1/31/2018 19:00,1/31/2018 20:00,1282,0037 Hornby & Nelson,0084 Sunset Beach West,365 Day Founding Plus,1574,447,3877,4037,4,7,0,0
1/31/2018 19:00,1/31/2018 20:00,182,0053 Keefer & Abbott,0119 3rd & Quebec,365 Standard,1903,662,3868,4003,5,7,0,0
1/31/2018 19:00,1/31/2018 19:00,1074,0050 Bute & Comox,0040 Cardero & Davie,Archived Monthly Standard,780,232,3903,4000,4,5,0,0
1/31/2018 19:00,1/31/2018 19:00,1347,0001 10th & Cambie,0211 14th & Alder,Archived Monthly Standard,1733,761,3705,3834,4,6,0,0
1/31/2018 19:00,1/31/2018 19:00,637,0019 Robson & Hornby,0137 Beach & Seymour,Archived Monthly Standard,1694,461,4035,4124,4,6,0,0
1/31/2018 19:00,1/31/2018 19:00,394,0112 10th & Oak,0159 Vine & 4th,365 Day Founding Standard,2971,796,3787,3956,6,7,0,0
1/31/2018 19:00,1/31/2018 19:00,782,0011 Ontario & Seawall,0108 Cypress & 1st,365 Day Founding Plus,3832,955,3964,4222,5,8,0,0
1/31/2018 19:00,1/31/2018 19:00,1483,0058 Homer & Smithe,0050 Bute & Comox,365 Day Founding Standard,1523,587,3563,3682,5,6,0,0
1/31/2018 19:00,1/31/2018 19:00,313,0066 Anderson & 2nd,0055 Keefer & Columbia,365 Standard,4041,786,3852,4043,6,8,0,0
1/31/2018 19:00,1/31/2018 19:00,261,0197 1st & Main,0601 Olympic Village Station,365 Corporate Plus,1345,416,3727,3848,4,6,0,0
1/31/2018 19:00,1/31/2018 19:00,360,0063 Robson & Granville,0036 Bute & Robson,365 Day Founding Plus,745,171,3619,3647,5,5,0,0
1/31/2018 19:00,1/31/2018 19:00,1232,0037 Hornby & Nelson,0196 Drake & Hornby,365 Corporate Plus,547,284,3752,3866,5,5,0,0
1/31/2018 19:00,1/31/2018 19:00,1138,0016 Pender & Burrard,0088 Harwood & Bute,Archived Monthly Standard,1780,1235,3922,4088,5,5,617,1
1/31/2018 19:00,1/31/2018 19:00,1071,0050 Bute & Comox,0028 Davie & Beach,365 Day Founding Plus,1170,261,3829,3953,4,6,0,0
1/31/2018 19:00,1/31/2018 19:00,28,0129 Richards & Robson,0196 Drake & Hornby,Archived Monthly Plus,1276,424,3758,3858,5,6,0,0
1/31/2018 19:00,1/31/2018 19:00,257,0077 Vanier Park,0154 Kitsilano Beach Park,365 Day Founding Standard,2189,860,3929,4143,4,6,0,0
1/31/2018 19:00,1/31/2018 19:00,508,0063 Robson & Granville,0148 Quebec & Milross,365 Day Founding Standard,158.33,19,3947,4113,5,6,0,0
1/31/2018 19:00,1/31/2018 19:00,629,0012 Dunsmuir & Richards,0082 Richards & Davie,Archived Monthly Standard,1031,217,3908,4000,4,6,0,0
1/31/2018 19:00,1/31/2018 19:00,1303,0129 Richards & Robson,0044 Richards & Beach,365 Standard,1100,225,3985,4098,5,7,0,0
1/31/2018 19:00,1/31/2018 19:00,1273,0005 Dunsmuir & Beatty,0027 Beatty & Nelson,365 Standard,728,280,3898,4019,5,6,0,0
1/31/2018 19:00,1/31/2018 19:00,763,0004 Yaletown-Roundhouse Station,0078 Nelson & Mainland,365 Day Founding Plus,338,154,3490,3695,5,5,0,0
1/31/2018 19:00,1/31/2018 19:00,1085,0015 Granville & Georgia,0196 Drake & Hornby,90 Day,1196,436,3748,3890,5,6,0,0
1/31/2018 19:00,1/31/2018 19:00,78,0040 Cardero & Davie,0083 Aquatic Centre,365 Day Founding Standard,1096,349,3980,4106,4,5,0,0
1/31/2018 19:00,1/31/2018 19:00,886,0167 Cordova & Columbia,0212 Union & Gore,365 Day Founding Plus,961,448,3700,3789,5,6,0,0
1/31/2018 19:00,1/31/2018 19:00,1052,0129 Richards & Robson,0037 Hornby & Nelson,365 Corporate Standard,0,237,3486,3618,4,2,0,0
1/31/2018 19:00,1/31/2018 19:00,878,0167 Cordova & Columbia,0008 8th & Ash,365 Plus,3320,939,3739,3940,5,7,0,0
1/31/2018 19:00,1/31/2018 19:00,28,0011 Ontario & Seawall,0129 Richards & Robson,Archived Monthly Standard,2256,581,3731,3860,5,7,0,0
1/31/2018 19:00,1/31/2018 19:00,1223,0005 Dunsmuir & Beatty,0027 Beatty & Nelson,365 Day Founding Standard,704,258,3803,3903,5,6,0,0
1/31/2018 19:00,1/31/2018 19:00,1111,0024 Hornby & Pender,0004 Yaletown-Roundhouse Station,365 Standard,2548,827,3792,4019,5,6,0,0
1/31/2018 19:00,1/31/2018 19:00,57,0187 Bute & Davie,0035 Coal Harbour Community Centre,365 Day Founding Standard,1525,530,3887,4000,5,7,0,0
1/31/2018 19:00,1/31/2018 19:00,604,0064 Expo & Smithe,0053 Keefer & Abbott,365 Day Founding Standard,767,233,3558,3702,5,6,0,0
1/31/2018 18:00,1/31/2018 19:00,991,0025 Homer & Robson,0187 Bute & Davie,365 Day Founding Standard,1725,517,3890,4045,4,6,0,0
1/31/2018 18:00,1/31/2018 19:00,670,0039 Helmcken & Burrard,0032 Comox & Denman,365 Day Founding Standard,1364,346,3679,3827,5,6,0,0
1/31/2018 18:00,1/31/2018 19:00,28,0064 Expo & Smithe,0011 Ontario & Seawall,Archived Monthly Standard,1843,432,3698,3832,6,7,0,0
1/31/2018 18:00,1/31/2018 19:00,1065,0052 Cambie & Water,0092 Chilco & Barclay,365 Day Founding Standard,3146,814,4029,4187,5,7,0,0
1/31/2018 18:00,1/31/2018 18:00,1500,0129 Richards & Robson,0137 Beach & Seymour,Archived Monthly Standard,1286,273,3950,4087,5,6,0,0
1/31/2018 18:00,1/31/2018 18:00,35,0129 Richards & Robson,0082 Richards & Davie,365 Corporate Plus,663,125,3665,3771,5,5,0,0
1/31/2018 18:00,1/31/2018 19:00,675,0165 Columbia & 4th,0140 Burrard & 7th,Archived Monthly Standard,2969,726,3785,3955,5,7,0,0
1/31/2018 18:00,1/31/2018 18:00,240,0129 Richards & Robson,0082 Richards & Davie,Archived Monthly Plus,669,193,3905,4019,6,7,0,0
1/31/2018 18:00,1/31/2018 18:00,28,0079 Nelson & Richards,0064 Expo & Smithe,Archived Monthly Standard,1012,475,3637,3768,6,6,0,0
1/31/2018 18:00,1/31/2018 19:00,661,0073 Ontario & 5th,0084 Sunset Beach West,365 Plus,4984,1112,3774,3992,5,7,0,0
1/31/2018 18:00,1/31/2018 18:00,1080,0005 Dunsmuir & Beatty,0201 Shaw Tower,365 Standard,1654,421,3590,3811,5,8,0,0
1/31/2018 18:00,1/31/2018 18:00,306,0016 Pender & Burrard,0087 Broughton & Burnaby,365 Day Founding Plus,1911,694,3640,3777,5,7,0,0
1/31/2018 18:00,1/31/2018 18:00,442,0016 Pender & Burrard,0011 Ontario & Seawall,365 Plus,2746,993,3753,3864,5,7,0,0
1/31/2018 18:00,1/31/2018 18:00,357,0201 Shaw Tower,0196 Drake & Hornby,365 Plus,1984,749,3645,3845,6,7,0,0
1/31/2018 18:00,1/31/2018 18:00,1124,0024 Hornby & Pender,0196 Drake & Hornby,365 Standard,1421,499,3847,3989,6,5,0,0
1/31/2018 18:00,1/31/2018 18:00,1074,0063 Robson & Granville,0050 Bute & Comox,365 Day Founding Standard,1315,491,3887,4016,6,7,0,0
1/31/2018 18:00,1/31/2018 18:00,316,0008 8th & Ash,0173 Columbia & 2nd,Archived Monthly Plus,1084,413,3747,3892,6,7,0,0
1/31/2018 18:00,1/31/2018 18:00,113,0001 10th & Cambie,0012 Dunsmuir & Richards,365 Corporate Plus,2668,666,3658,3823,4,7,0,0
1/31/2018 18:00,1/31/2018 18:00,629,0026 Beatty & Robson,0012 Dunsmuir & Richards,365 Day Founding Standard,792,331,3890,3998,5,6,0,0
1/31/2018 18:00,1/31/2018 18:00,647,0101 Stanley Park - Vancouver Aquarium,0093 Chilco & Robson,365 Day Founding Standard,1059,208,3682,3835,4,6,0,0
1/31/2018 18:00,1/31/2018 19:00,521,0088 Harwood & Bute,0088 Harwood & Bute,VIP,2497,2786,3964,4090,5,7,1987,1
1/31/2018 18:00,1/31/2018 18:00,522,0008 8th & Ash,0083 Aquatic Centre,365 Standard,4782,1259,3982,4224,6,7,0,0
1/31/2018 18:00,1/31/2018 18:00,1491,0050 Bute & Comox,0032 Comox & Denman,365 Day Founding Standard,876,164,3895,4008,4,6,0,0
1/31/2018 18:00,1/31/2018 18:00,57,0058 Homer & Smithe,0187 Bute & Davie,365 Day Founding Standard,1553,679,3858,3989,5,6,0,0
1/31/2018 18:00,1/31/2018 18:00,28,0150 Alexander & Main,0079 Nelson & Richards,Archived Monthly Standard,2658,1689,3684,3773,7,5,398,1
1/31/2018 18:00,1/31/2018 18:00,870,0036 Bute & Robson,0088 Harwood & Bute,365 Plus,904,254,3674,3890,5,5,0,0
1/31/2018 18:00,1/31/2018 18:00,96,0058 Homer & Smithe,0033 Robson & Denman,365 Plus,2099,663,3874,3992,5,7,0,0
1/31/2018 18:00,1/31/2018 18:00,1468,0209 Stanley Park - Information Booth,0024 Hornby & Pender,Archived Monthly Plus,2577,912,3860,4059,4,3,0,0
1/31/2018 18:00,1/31/2018 18:00,1283,0044 Richards & Beach,0032 Comox & Denman,365 Standard,2366,754,3837,4063,5,7,0,0
1/31/2018 18:00,1/31/2018 18:00,449,0063 Robson & Granville,0196 Drake & Hornby,Archived Monthly Plus,1031,486,3671,3774,6,7,0,0
1/31/2018 18:00,1/31/2018 18:00,855,0053 Keefer & Abbott,0083 Aquatic Centre,365 Standard,3934,645,3716,3881,6,9,0,0
1/31/2018 18:00,1/31/2018 18:00,842,0026 Beatty & Robson,0078 Nelson & Mainland,365 Standard,477,157,3887,3948,5,6,0,0
1/31/2018 17:00,1/31/2018 18:00,413,0012 Dunsmuir & Richards,0011 Ontario & Seawall,365 Standard,2235,419,3795,3948,5,8,0,0
1/31/2018 17:00,1/31/2018 18:00,485,0012 Dunsmuir & Richards,0044 Richards & Beach,365 Day Founding Standard,1496,499,3839,3943,4,5,0,0
1/31/2018 17:00,1/31/2018 18:00,333,0063 Robson & Granville,0032 Comox & Denman,365 Day Founding Standard,2005,583,3837,3977,5,8,0,0
1/31/2018 17:00,1/31/2018 18:00,894,0008 8th & Ash,0092 Chilco & Barclay,365 Corporate Plus,4427,969,3848,4047,5,8,0,0
1/31/2018 17:00,1/31/2018 18:00,28,0212 Union & Gore,0150 Alexander & Main,Archived Monthly Standard,1852,1252,3668,3761,5,7,0,0
1/31/2018 17:00,1/31/2018 18:00,1390,0030 Abbott & Cordova,0197 1st & Main,365 Corporate Plus,2338,811,3898,4103,6,7,0,0
1/31/2018 17:00,1/31/2018 18:00,1147,0007 12th & Yukon,0060 Bidwell & Burnaby,365 Day Founding Plus,5529,1334,3528,3761,4,7,0,0
1/31/2018 17:00,1/31/2018 18:00,1022,0002 Burrard Station,0173 Columbia & 2nd,365 Corporate Plus,3567,915,3652,3850,7,9,0,0
1/31/2018 17:00,1/31/2018 17:00,1022,0002 Burrard Station,0002 Burrard Station,365 Corporate Plus,0,17,3679,3753,7,6,0,0
1/31/2018 17:00,1/31/2018 18:00,689,0027 Beatty & Nelson,0139 Burrard & 4th,365 Corporate Standard,3144,907,3711,3879,5,7,0,0
1/31/2018 17:00,1/31/2018 17:00,893,0218 Carrall & Seawall,0173 Columbia & 2nd,365 Day Founding Plus,1513,437,3627,3740,6,8,0,0
1/31/2018 17:00,1/31/2018 18:00,1063,0105 Stanley Park - Totem Poles,0083 Aquatic Centre,365 Day Founding Plus,9338,2590,3989,4275,5,6,0,0
1/31/2018 17:00,1/31/2018 17:00,222,0036 Bute & Robson,0088 Harwood & Bute,365 Plus,886,264,3990,4100,6,7,0,0
1/31/2018 17:00,1/31/2018 17:00,81,0019 Robson & Hornby,0066 Anderson & 2nd,Archived Monthly Standard,3081,717,3990,4148,6,8,0,0
1/31/2018 17:00,1/31/2018 17:00,1241,0002 Burrard Station,0005 Dunsmuir & Beatty,365 Standard,1386,319,3777,3898,6,8,0,0
1/31/2018 17:00,1/31/2018 17:00,521,0002 Burrard Station,0088 Harwood & Bute,365 Day Founding Plus,1688,406,3929,4055,6,9,0,0
1/31/2018 17:00,1/31/2018 17:00,436,0004 Yaletown-Roundhouse Station,0054 Expo & Carrall,365 Day Founding Plus,1482,446,4037,4150,6,8,0,0
1/31/2018 17:00,1/31/2018 17:00,878,0171 5th & Yukon,0167 Cordova & Columbia,365 Plus,2519,752,3732,3861,7,7,0,0
1/31/2018 17:00,1/31/2018 17:00,803,0071 14th & Granville,0110 5th & Arbutus,365 Standard,1952,530,3866,4019,5,6,0,0
1/31/2018 17:00,1/31/2018 17:00,562,0036 Bute & Robson,0040 Cardero & Davie,365 Standard,1149,373,3632,3747,6,8,0,0
1/31/2018 17:00,1/31/2018 17:00,597,0165 Columbia & 4th,0165 Columbia & 4th,365 Standard,1631,1036,3908,4029,5,7,562,1
1/31/2018 17:00,1/31/2018 17:00,334,0014 Canada Place,0041 Cardero & Robson,365 Day Founding Standard,1725,530,3607,3711,5,6,0,0
1/31/2018 17:00,1/31/2018 17:00,771,0089 Burrard & Drake,0204 York & Yew,Archived Monthly Standard,2131,495,3703,3852,6,8,0,0
1/31/2018 17:00,1/31/2018 17:00,210,0601 Olympic Village Station,0027 Beatty & Nelson,365 Standard,1443,364,3879,4071,6,6,0,0
1/31/2018 17:00,1/31/2018 17:00,492,0083 Aquatic Centre,0105 Stanley Park - Totem Poles,365 Day Founding Plus,4964,1240,3769,4021,6,7,0,0
1/31/2018 17:00,1/31/2018 17:00,512,0081 7th & Heather,0140 Burrard & 7th,Archived Monthly Standard,1984,586,3735,3871,6,7,0,0
1/31/2018 17:00,1/31/2018 17:00,1344,0167 Cordova & Columbia,0011 Ontario & Seawall,365 Corporate Standard,1988,536,3930,4077,6,8,0,0
1/31/2018 17:00,1/31/2018 17:00,862,0601 Olympic Village Station,0060 Bidwell & Burnaby,365 Day Founding Plus,4619,1136,3916,4129,7,8,0,0
1/31/2018 17:00,1/31/2018 17:00,39,0107 8th & Ontario,0041 Cardero & Robson,365 Day Founding Standard,5072,1231,3906,4129,6,8,0,0
1/31/2018 16:00,1/31/2018 17:00,570,0112 10th & Oak,0174 1st & Ontario,Archived Monthly Standard,2203,538,3619,3763,6,9,0,0
1/31/2018 16:00,1/31/2018 16:00,40,0039 Helmcken & Burrard,0079 Nelson & Richards,365 Corporate Plus,679,214,3823,3882,6,7,0,0
1/31/2018 16:00,1/31/2018 16:00,531,0024 Hornby & Pender,0032 Comox & Denman,Archived Monthly Standard,2123,510,3520,3681,7,7,0,0
1/31/2018 16:00,1/31/2018 17:00,832,0064 Expo & Smithe,0032 Comox & Denman,365 Day Founding Plus,3060,1061,3992,4180,7,9,0,0
1/31/2018 16:00,1/31/2018 16:00,1255,0037 Hornby & Nelson,0093 Chilco & Robson,365 Day Founding Standard,2391,456,3821,3990,9,10,0,0
1/31/2018 16:00,1/31/2018 17:00,752,0008 8th & Ash,0066 Anderson & 2nd,365 Day Founding Plus,2877,1250,3705,3860,6,7,0,0
1/31/2018 16:00,1/31/2018 16:00,531,0082 Richards & Davie,0024 Hornby & Pender,365 Standard,1654,390,3487,3640,6,7,0,0
1/31/2018 16:00,1/31/2018 17:00,583,0073 Ontario & 5th,0011 Ontario & Seawall,365 Day Founding Standard,4698,1635,3950,4066,6,8,0,0
1/31/2018 16:00,1/31/2018 16:00,500,0041 Cardero & Robson,0044 Richards & Beach,365 Standard,2570,927,3768,3945,5,7,0,0
1/31/2018 16:00,1/31/2018 16:00,469,0140 Burrard & 7th,0087 Broughton & Burnaby,365 Standard,2954,772,3769,3929,6,8,0,0
1/31/2018 16:00,1/31/2018 16:00,1078,0012 Dunsmuir & Richards,0060 Bidwell & Burnaby,365 Standard,3024,861,3839,4051,6,9,0,0
1/31/2018 16:00,1/31/2018 16:00,78,0015 Granville & Georgia,0040 Cardero & Davie,365 Day Founding Standard,2095,454,3979,4122,6,9,0,0
1/31/2018 16:00,1/31/2018 16:00,1482,0053 Keefer & Abbott,0004 Yaletown-Roundhouse Station,365 Day Founding Plus,1455,351,3607,3661,7,6,0,0
1/31/2018 16:00,1/31/2018 17:00,394,0066 Anderson & 2nd,0066 Anderson & 2nd,24 Hour,3530,6026,3800,3879,7,5,0,0
1/31/2018 16:00,1/31/2018 16:00,1218,0107 8th & Ontario,0010 Stamp's Landing,365 Plus,1684,396,3558,3669,6,9,0,0
1/31/2018 15:00,1/31/2018 16:00,1199,0066 Anderson & 2nd,0139 Burrard & 4th,365 Plus,735,389,3581,3660,6,7,0,0
1/31/2018 15:00,1/31/2018 16:00,417,0129 Richards & Robson,0137 Beach & Seymour,Archived Monthly Standard,1268,359,3958,4051,6,8,0,0
1/31/2018 15:00,1/31/2018 16:00,485,0167 Cordova & Columbia,0012 Dunsmuir & Richards,90 Day,1323,585,3818,3971,6,5,0,0
1/31/2018 15:00,1/31/2018 15:00,1237,0037 Hornby & Nelson,0057 Marinaside & Cooperage,24 Hour,1165,362,3686,3971,7,8,0,0
1/31/2018 15:00,1/31/2018 16:00,927,0125 Hamilton & Robson,0041 Cardero & Robson,365 Standard,1841,564,3784,3918,7,8,0,0
1/31/2018 15:00,1/31/2018 16:00,372,0130 Heather & 16th,0073 Ontario & 5th,Archived Monthly Standard,2266,619,3953,4124,6,8,0,0
1/31/2018 15:00,1/31/2018 15:00,728,0037 Hornby & Nelson,0066 Anderson & 2nd,365 Plus,1482,576,3890,4032,6,8,0,0
1/31/2018 15:00,1/31/2018 15:00,995,0076 Cypress & 4th,0030 Abbott & Cordova,90 Day,4471,1080,3639,3848,7,9,0,0
1/31/2018 15:00,1/31/2018 15:00,813,0123 Georgia & Thurlow,0032 Comox & Denman,Archived Monthly Standard,1627,411,3784,3945,7,9,0,0
