Departure,Return,Bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2020-02-01 0:00,2020-02-01 0:00,522,0099 Vancouver Art Gallery - North Plaza,0196 Drake & Hornby,365 Plus,994,323,3881,4001,12,13,0,0
2020-02-01 0:00,2020-02-01 0:00,539,0126 Thurlow & Pendrell,0002 Burrard Station,30 Day Pass,1014,565,3697,3768,12,13,0,0
2020-02-01 0:00,2020-02-01 0:00,541,0244 10th & Commercial,0281 Windsor & 14th,365 Plus,1390,487,3682,3752,12,10,0,0
2020-02-01 0:00,2020-02-01 0:00,1234,0074 10th & Main,0112 10th & Oak,365 Standard,1843,418,3900,4005,13,15,0,0
2020-02-01 0:00,2020-02-01 0:00,2134,0004 Yaletown-Roundhouse Station,0011 Ontario & Seawall,365 Standard,2295,474,3877,4027,11,14,0,0
2020-01-31 23:00,2020-01-31 23:00,1795,0109 7th & Arbutus,0065 Cypress & Cornwall,Vancity Community Pass,1194,348,3679,3813,12,14,0,0
2020-01-31 23:00,2020-02-01 0:00,1485,0019 Robson & Hornby,0280 Triumph & Victoria,365 Plus,5372,1400,3621,3958,12,11,0,0
2020-01-31 23:00,2020-01-31 23:00,957,0036 Bute & Robson,0019 Robson & Hornby,365 Plus,530,179,3993,4056,12,13,0,0
2020-01-31 23:00,2020-01-31 23:00,1425,0079 Nelson & Richards,0004 Yaletown-Roundhouse Station,365 Corporate Plus Renewal,557,147,3785,3881,12,14,0,0
2020-01-31 23:00,2020-01-31 23:00,825,0019 Robson & Hornby,0005 Dunsmuir & Beatty,365 Plus,1259,351,3632,3779,12,13,0,0
2020-01-31 23:00,2020-01-31 23:00,118,0134 14th & Main,0177 Quebec & 1st,Vancity Community Pass,1533,291,3697,3876,12,12,0,0
2020-01-31 23:00,2020-01-31 23:00,1620,0074 10th & Main,0001 10th & Cambie,365 Corporate Standard,963,165,3658,3889,12,13,0,0
2020-01-31 23:00,2020-01-31 23:00,93,0174 1st & Manitoba,0191 7th & Laurel,365 Day Founding Standard,1611,419,4024,4137,12,14,0,0
