Departure,Return,Bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
1/1/2019 0:00,1/1/2019 12:00,543,0050 Bute & Comox,0033 Robson & Denman,24 Hour,2438,42612,3607,3671,5,7,0,0
1/1/2019 0:00,1/1/2019 0:00,1262,0037 Hornby & Nelson,0209 Stanley Park - Information Booth,90 Day,4263,1313,3792,3919,6,6,0,0
1/1/2019 0:00,1/1/2019 0:00,1054,0036 Bute & Robson,0050 Bute & Comox,24 Hour,390,105,3874,3956,6,7,0,0
1/1/2019 0:00,1/1/2019 0:00,678,0076 Cypress & 4th,0089 Burrard & Drake,365 Plus,1950,840,3690,3866,5,5,0,0
1/1/2019 0:00,1/1/2019 0:00,1108,0030 Abbott & Cordova,0055 Keefer & Columbia,90 Day,855,293,3869,3990,6,7,0,0
1/1/2019 0:00,1/1/2019 0:00,191,0050 Bute & Comox,0190 Melville & Bute,365 Day Founding Plus,755,258,3592,3752,5,6,0,0
1/1/2019 0:00,1/1/2019 0:00,889,0050 Bute & Comox,0190 Melville & Bute,365 Day Founding Plus,757,273,3985,4096,5,7,0,0
1/1/2019 0:00,1/1/2019 0:00,614,0092 Chilco & Barclay,0060 Bidwell & Burnaby,90 Day,2630,389,4035,4195,5,7,0,0
1/1/2019 0:00,1/1/2019 0:00,899,0017 Marinaside & Davie,0174 1st & Ontario,365 Day Pass Standard SALE,2762,602,3819,3982,5,8,0,0
1/1/2019 0:00,1/1/2019 0:00,1054,0039 Helmcken & Burrard,0036 Bute & Robson,365 Day Pass Plus SALE,941,288,3881,3984,7,8,0,0
12/31/2018 23:00,1/1/2019 0:00,511,0028 Davie & Beach,0105 Stanley Park - Totem Poles,24 Hour,7343,1946,4079,4096,5,6,0,0
12/31/2018 23:00,1/1/2019 0:00,1525,0028 Davie & Beach,0105 Stanley Park - Totem Poles,24 Hour,7400,1988,3855,4155,6,5,0,0
12/31/2018 23:00,1/1/2019 0:00,42,0030 Abbott & Cordova,0082 Richards & Davie,Vancity Community Pass,3005,1761,4067,4248,7,9,0,0
12/31/2018 23:00,1/1/2019 0:00,292,0174 1st & Ontario,0037 Hornby & Nelson,365 Plus,3395,1164,3761,3927,5,6,0,0
12/31/2018 23:00,12/31/2018 23:00,456,0063 Robson & Granville,0052 Cambie & Water,24 Hour,2415,588,3690,3819,8,9,0,0
12/31/2018 23:00,1/1/2019 0:00,1932,0152 Arbutus Greenway & 14th,0047 Chilco & Beach,365 Standard,5319,1342,3964,4230,5,8,0,0
12/31/2018 23:00,1/1/2019 0:00,1247,0152 Arbutus Greenway & 14th,0047 Chilco & Beach,365 Plus,5392,1427,3634,3966,4,7,0,0
12/31/2018 23:00,12/31/2018 23:00,1031,0039 Helmcken & Burrard,0148 Creekside Park North,365 Day Founding Standard,2830,871,3497,3756,7,8,0,0
12/31/2018 23:00,12/31/2018 23:00,456,0033 Robson & Denman,0063 Robson & Granville,24 Hour,1607,427,3671,3779,6,8,0,0
12/31/2018 23:00,12/31/2018 23:00,1078,0039 Helmcken & Burrard,0229 Keefer & Princess,365 Standard,3524,1017,3795,4016,6,7,0,0
12/31/2018 23:00,1/1/2019 0:00,1719,0015 Granville & Georgia,0015 Granville & Georgia,24 Hour,4245,3791,3756,3889,6,6,0,0
12/31/2018 23:00,1/1/2019 0:00,183,0015 Granville & Georgia,0015 Granville & Georgia,24 Hour,4253,3854,3914,4029,6,7,0,0
12/31/2018 23:00,12/31/2018 23:00,1157,0071 14th & Granville,0007 12th & Yukon,365 Corporate Plus,2293,688,3877,4137,5,5,0,0
12/31/2018 23:00,12/31/2018 23:00,1437,0154 Kitsilano Beach Park,0028 Davie & Beach,24 Hour,3994,1387,3879,4130,6,7,0,0
12/31/2018 23:00,12/31/2018 23:00,1743,0154 Kitsilano Beach Park,0028 Davie & Beach,24 Hour,4104,1423,3497,3650,5,6,0,0
12/31/2018 23:00,12/31/2018 23:00,832,0066 Anderson & 2nd,0010 Stamp's Landing,365 Day Pass Standard SALE,1823,505,3898,4019,6,8,0,0
12/31/2018 23:00,1/1/2019 0:00,1185,0015 Granville & Georgia,0015 Granville & Georgia,24 Hour,5938,4630,3866,4047,6,6,0,0
12/31/2018 23:00,1/1/2019 0:00,1038,0015 Granville & Georgia,0015 Granville & Georgia,24 Hour,5848,4597,3750,3892,6,6,0,0
12/31/2018 23:00,12/31/2018 23:00,901,0198 6th & Main,0017 Marinaside & Davie,365 Plus,2719,885,3918,4140,6,7,0,0
12/31/2018 23:00,12/31/2018 23:00,1872,0266 St Catherines & 7th,0242 8th & Commercial,365 Corporate Standard,1476,399,3727,3897,5,7,0,0
12/31/2018 23:00,12/31/2018 23:00,1309,0017 Marinaside & Davie,0017 Marinaside & Davie,365 Plus,818,530,4063,4171,5,7,0,0
12/31/2018 22:00,12/31/2018 23:00,1033,0211 14th & Alder,0072 14th & Cambie,24 Hour,1370,407,3816,3972,5,6,0,0
12/31/2018 22:00,12/31/2018 23:00,272,0037 Hornby & Nelson,0065 Cypress & Cornwall,24 Hour,2148,874,3887,4148,7,6,0,0
12/31/2018 22:00,12/31/2018 23:00,42,0089 Burrard & Drake,0030 Abbott & Cordova,Vancity Community Pass,7304,2831,3939,4263,5,7,221,1
12/31/2018 22:00,12/31/2018 23:00,1807,0148 Creekside Park North,0083 Aquatic Centre,24 Hour,3712,820,3811,4111,5,6,0,0
12/31/2018 22:00,12/31/2018 22:00,543,0036 Bute & Robson,0050 Bute & Comox,365 Day Founding Plus,1047,417,3557,3706,5,7,0,0
12/31/2018 22:00,12/31/2018 22:00,673,0036 Bute & Robson,0050 Bute & Comox,365 Day Founding Plus,0,555,3373,3579,6,6,0,0
12/31/2018 22:00,12/31/2018 22:00,914,0167 Cordova & Columbia,0015 Granville & Georgia,24 Hour,2044,845,3692,3861,5,7,0,0
12/31/2018 22:00,12/31/2018 22:00,397,0167 Cordova & Columbia,0015 Granville & Georgia,24 Hour,2017,909,4026,4166,6,6,0,0
12/31/2018 22:00,12/31/2018 22:00,735,0012 Dunsmuir & Richards,0098 Carrall & Hastings,24 Hour,1564,930,3605,3853,5,5,0,0
12/31/2018 22:00,12/31/2018 22:00,115,0053 Keefer & Abbott,0073 Ontario & 5th,Vancity Community Pass,1954,502,3887,4055,5,7,0,0
12/31/2018 22:00,12/31/2018 22:00,536,0078 Nelson & Mainland,0197 1st & Main,365 Plus,2956,1140,3842,4013,6,6,0,0
12/31/2018 22:00,12/31/2018 22:00,757,0012 Dunsmuir & Richards,0138 Richards & Helmcken,365 Day Pass Standard SALE,882,247,3744,3831,6,7,0,0
12/31/2018 22:00,12/31/2018 22:00,657,0079 Nelson & Richards,0197 1st & Main,365 Day Pass Plus SALE,3193,1351,3916,4106,6,6,0,0
12/31/2018 22:00,12/31/2018 22:00,1457,0079 Nelson & Richards,0078 Nelson & Mainland,365 Plus,216,221,3810,3869,7,7,0,0
