Departure,Return,Bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2020-05-01 0:00,2020-05-01 0:00,1020,0196 Drake & Hornby,0196 Drake & Hornby,365 Corporate Standard,4063,1283,3619,3729,13,15,0,0
2020-05-01 0:00,2020-05-01 0:00,1790,0008 8th & Ash,0197 1st & Scotia,30 Day Pass,1972,520,3987,4082,13,15,0,0
2020-05-01 0:00,2020-05-01 1:00,1236,0028 Davie & Beach,0096 Nicola & Robson,365 Day Founding Plus,7055,3322,4196,4246,17,15,1173,4
2020-05-01 0:00,2020-05-01 0:00,1224,0021 Cordova & Granville,0174 1st & Manitoba,365 Corporate Plus,2677,568,3951,4137,12,15,0,0
2020-05-01 0:00,2020-05-01 0:00,1450,0143 South False Creek Seawall,0065 Cypress & Cornwall,30 Day Pass,2728,546,3802,3997,11,12,0,0
2020-05-01 0:00,2020-05-01 0:00,867,0051 Smithe & Burrard,0221 Glen & Union,365 Plus,4202,909,3901,4105,13,14,86,1
2020-05-01 0:00,2020-05-01 0:00,244,0048 Comox & Broughton,0092 Chilco & Barclay,365 Plus,1811,612,3958,4106,13,12,0,0
2020-04-30 23:00,2020-04-30 23:00,1789,0004 Yaletown-Roundhouse Station,0190 Melville & Bute,365 Plus,2164,784,3871,3971,14,15,0,0
2020-04-30 23:00,2020-04-30 23:00,1654,0083 Aquatic Centre,0087 Broughton & Burnaby,365 Standard,763,311,3869,3966,14,13,0,0
2020-04-30 23:00,2020-04-30 23:00,396,0083 Aquatic Centre,0060 Bidwell & Burnaby,30 Day Pass,984,206,3989,4121,13,14,0,0
2020-04-30 23:00,2020-04-30 23:00,834,0083 Aquatic Centre,0060 Bidwell & Burnaby,30 Day Pass,1027,229,3881,3968,13,15,0,0
2020-04-30 23:00,2020-04-30 23:00,1654,0087 Broughton & Burnaby,0083 Aquatic Centre,365 Day Founding Standard,718,169,3863,3974,14,15,0,0
2020-04-30 23:00,2020-04-30 23:00,1176,0005 Dunsmuir & Beatty,0190 Melville & Bute,365 Corporate Plus,1404,396,3942,4171,13,15,0,0
2020-04-30 23:00,2020-05-01 0:00,1236,0096 Nicola & Robson,0028 Davie & Beach,365 Day Founding Plus,8235,2519,4146,4280,16,16,343,2
2020-04-30 23:00,2020-04-30 23:00,56,0201 Shaw Tower,0193 Science World,365 Plus,2701,662,3924,4006,14,14,0,0
2020-04-30 23:00,2020-04-30 23:00,796,0235 Charles & Commercial,0254 Grandview Bike Lane & Commercial,365 Plus,1137,379,3534,3692,13,15,0,0
