,Hectare,Coordinates
126,2.7,"['49.241987', '-123.104361']"
127,1.0,"['49.253932', '-123.143816']"
128,1.53,"['49.24502', '-123.13364']"
129,1.26,"['49.247615', '-123.12363']"
130,5.32,"['49.252493', '-123.122225']"
131,0.98,"['49.254765', '-123.121103']"
132,10.07,"['49.275276', '-123.084674']"
133,1.49,"['49.273946', '-123.099212']"
134,1.07,"['49.205532', '-123.056883']"
135,2.91,"['49.227724', '-123.057508']"
136,4.01,"['49.205951', '-123.04575']"
137,0.55,"['49.28546', '-123.14223']"
138,0.56,"['49.28718', '-123.132167']"
139,1.36,"['49.215746', '-123.040816']"
140,3.61,"['49.281211', '-123.139681']"
141,0.06,"['49.263885', '-123.089121']"
142,1.23,"['49.27279', '-123.186689']"
143,46.71,"['49.271513', '-123.197415']"
144,0.07,"['49.265482', '-123.128905']"
145,2.49,"['49.272541', '-123.129311']"
146,0.0,"['49.257423', '-123.201329']"
147,1.08,"['49.262283', '-123.154927']"
148,0.17,"['49.277042', '-123.118921']"
149,0.35,"['49.200357', '-123.135862']"
150,3.05,"['49.275015', '-123.093116']"
151,2.89,"['49.244397', '-123.156429']"
152,7.67,"['49.24369', '-123.148865']"
153,4.85,"['49.25046', '-123.161879']"
154,0.27,"['49.282084', '-123.113877']"
155,0.95,"['49.289981', '-123.125015']"
156,2.53,"['49.274415', '-123.102924']"
157,4.34,"['49.272569', '-123.124145']"
158,0.85,"['49.276458', '-123.123995']"
159,0.1,"['49.288042', '-123.119169']"
160,0.91,"['49.273379', '-123.121603']"
161,0.83,"['49.279691', '-123.104233']"
162,0.74,"['49.218288', '-123.184356']"
163,22.05,"['49.229331', '-123.18998']"
164,0.17,"['49.257112', '-123.180696']"
165,0.19,"['49.286753', '-123.062784']"
166,0.89,"['49.273511', '-123.070469']"
167,0.19,"['49.288668', '-123.057154']"
168,1.62,"['49.265936', '-123.066601']"
169,0.22,"['49.286172', '-123.062223']"
170,1.58,"['49.278526', '-123.073387']"
171,0.45,"['49.264099', '-123.046012']"
172,10.0,"['49.290122', '-123.037888']"
173,11.43,"['49.271629', '-123.031384']"
174,3.18,"['49.266612', '-123.035037']"
175,1.38,"['49.247695', '-123.066461']"
176,4.28,"['49.257142', '-123.072405']"
177,2.11,"['49.244757', '-123.058517']"
178,1.61,"['49.241136', '-123.084974']"
179,2.41,"['49.247499', '-123.074674']"
180,9.1,"['49.207915', '-123.150862']"
181,7.84,"['49.215527', '-123.032545']"
182,1.61,"['49.261014', '-123.184543']"
183,5.98,"['49.262026', '-123.160025']"
184,1.71,"['49.268073', '-123.179732']"
185,0.22,"['49.271658', '-123.17617']"
186,0.51,"['49.210597', '-123.119435']"
187,0.94,"['49.215457', '-123.142529']"
188,5.31,"['49.215431', '-123.114024']"
189,1.04,"['49.263965', '-123.095837']"
190,4.02,"['49.231291', '-123.130776']"
191,5.02,"['49.227725', '-123.119693']"
192,0.77,"['49.244232', '-123.028792']"
193,1.27,"['49.237066', '-123.036887']"
194,2.26,"['49.237098', '-123.051061']"
195,0.35,"['49.251572', '-123.097564']"
196,5.89,"['49.247166', '-123.044111']"
197,0.24,"['49.253954', '-123.102003']"
198,2.99,"['49.235725', '-123.152674']"
199,22.29,"['49.239181', '-123.131293']"
200,1.21,"['49.278838', '-123.088396']"
201,0.3,"['49.276983', '-123.087485']"
202,1.43,"['49.212608', '-123.094228']"
203,13.59,"['49.230901', '-123.085138']"
204,1.51,"['49.217276', '-123.082351']"
205,1.27,"['49.215398', '-123.067572']"
206,6.51,"['49.22338', '-123.070491']"
207,0.47,"['49.218698', '-123.063266']"
208,9.83,"['49.287118', '-123.143317']"
209,0.12,"['49.261821', '-123.157388']"
210,1.21,"['49.225093', '-123.111506']"
211,0.56,"['49.202224', '-123.125036']"
212,19.0,"['49.273015', '-123.207284']"
213,0.0,"['49.26955', '-123.135064']"
214,0.95,"['49.270869', '-123.110533']"
215,0.0,"['49.256978', '-123.09']"
